TDP_1,TDP_2,TD_1,TD_2,ctrl_1,ctrl_2,details,event_date,event_loc,event_name,f1_res,f2_res,fight_class,fight_result,fighter_name_1,fighter_name_2,judge_1,judge_2,judge_3,kd_1,kd_2,method,r1_TDP_1,r1_TDP_2,r1_TD_1,r1_TD_2,r1_ctrl_1,r1_ctrl_2,r1_rev_1,r1_rev_2,r1_sig_strP_1,r1_sig_strP_2,r1_sig_str_1,r1_sig_str_2,r1_sub_att_1,r1_sub_att_2,r1_tot_str_1,r1_tot_str_2,referee,rev_1,rev_2,round,sig_strP_1,sig_strP_2,sig_str_1,sig_str_2,sub_att_1,sub_att_2,time,time_format,tot_body_1,tot_body_2,tot_clinch_1,tot_clinch_2,tot_dist_1,tot_dist_2,tot_ground_1,tot_ground_2,tot_head_1,tot_head_2,tot_leg_1,tot_leg_2,tot_str_1,tot_str_2
25%,0%,"1,4","0,2",1:16,0:09,Judge,"October 01, 2016","Portland, Oregon, USA",UFC Fight Night: Lineker vs. Dodson,L,W,Welterweight Bout,"L,Joshua Burkman,""The People's Warrior"",W,Zak Ottow,""The Barbarian""",Joshua Burkman,Zak Ottow,Sal D'amato-28 - 29.,Glenn Trowbridge-29 - 28.,Jeff Mullen-28 - 29.,0,0,Decision - Split,0%,---,"0,1","0,0",0:00,0:00,0,0,44%,43%,"17,38","16,37",0,0,"17,38","16,37",John McCarthy,0,0,3,37%,43%,"47,126","65,149",0,1,5:00,3 Rnd (5-5-5),"8,19","14,20","5,6","2,3","42,120","62,144","0,0","1,2","12,74","31,106","27,33","20,23","50,129","80,165"
50%,40%,"4,8","4,10",3:45,8:11,Punches to Head From Half Guard,"October 01, 2016","Portland, Oregon, USA",UFC Fight Night: Lineker vs. Dodson,L,W,Lightweight Bout,"L,Will Brooks,""Ill"",W,Alex Oliveira,""Cowboy""",Will Brooks,Alex Oliveira,,,,0,0,KO/TKO,50%,0%,"2,4","0,4",1:05,3:18,0,0,90%,85%,"10,11","17,20",0,1,"14,15","27,34",Herb Dean,0,0,3,94%,81%,"16,17","48,59",0,1,3:30,3 Rnd (5-5-5),"9,10","11,12","9,10","28,33","5,5","6,10","2,2","14,16","2,2","21,27","5,5","16,20","29,37","80,102"
---,0%,"0,0","0,6",0:00,0:23,Judge,"October 01, 2016","Portland, Oregon, USA",UFC Fight Night: Lineker vs. Dodson,W,L,Bantamweight Bout,"W,John Lineker,""Hands of Stone"",L,John Dodson,""The Magician""",John Lineker,John Dodson,Marcos Rosales-48 - 47.,Glenn Trowbridge-47 - 48.,Sal D'amato-47 - 48.,0,0,Decision - Split,---,0%,"0,0","0,1",0:00,0:00,0,0,29%,65%,"9,31","15,23",0,0,"9,31","15,23",John McCarthy,0,0,5,28%,52%,"93,322","101,191",0,0,5:00,5 Rnd (5-5-5-5-5),"35,84","26,30","10,22","3,5","83,300","98,186","0,0","0,0","47,223","56,140","11,15","19,21","94,323","101,191"
---,0%,"0,0","0,1",0:01,0:16,Punch to Head At Distance,"September 24, 2016","Brasilia, Distrito Federal, Brazil",UFC Fight Night: Cyborg vs. Lansberg,W,L,Welterweight Bout,"W,Vicente Luque,""The Silent Assassin"",L,Hector Urbina,""El Toro""",Vicente Luque,Hector Urbina,,,,1,0,KO/TKO,---,0%,"0,0","0,1",0:01,0:16,0,0,50%,29%,"11,22","5,17",0,0,"11,22","5,17",Fernando Portella,0,0,1,50%,29%,"11,22","5,17",0,0,1:00,3 Rnd (5-5-5),"0,0","0,1","3,4","0,0","8,18","5,17","0,0","0,0","11,22","4,15","0,0","1,1","11,22","5,17"
62%,---,"5,8","0,0",12:12,1:32,Judge,"September 24, 2016","Brasilia, Distrito Federal, Brazil",UFC Fight Night: Cyborg vs. Lansberg,W,L,Lightweight Bout,"W,Alan Patrick,""Nuguette"",L,Stevie Ray,""Braveheart""",Alan Patrick,Stevie Ray,Joseph Terrell-28 - 29.,Fabio Alves-28 - 29.,Guilherme Bravo-27 - 30.,0,0,Decision - Unanimous,60%,---,"3,5","0,0",4:27,0:19,0,0,50%,100%,"2,4","1,1",0,1,"12,16","17,17",Mario Yamasaki,0,0,3,58%,22%,"7,12","2,9",1,1,5:00,3 Rnd (5-5-5),"0,1","0,0","0,0","0,0","3,6","0,7","4,6","2,2","7,11","2,9","0,0","0,0","60,75","56,65"
---,25%,"0,0","1,4",3:10,2:32,Rear Naked Choke,"September 24, 2016","Brasilia, Distrito Federal, Brazil",UFC Fight Night: Cyborg vs. Lansberg,W,L,Welterweight Bout,"W,Erick Silva,L,Luan Chagas,""Tarzan""",Erick Silva,Luan Chagas,,,,1,2,Submission,---,0%,"0,0","0,1",0:22,0:33,0,0,36%,42%,"21,57","20,47",0,0,"22,58","21,50",Osiris Maia,1,0,3,47%,40%,"55,116","41,101",2,0,3:57,3 Rnd (5-5-5),"8,12","8,14","2,3","2,3","36,79","30,81","17,34","9,17","41,98","27,79","6,6","6,8","62,125","44,106"
33%,0%,"1,3","0,2",9:09,2:57,Judge,"September 24, 2016","Brasilia, Distrito Federal, Brazil",UFC Fight Night: Cyborg vs. Lansberg,W,L,Flyweight Bout,"W,Jussier Formiga,L,Dustin Ortiz",Jussier Formiga,Dustin Ortiz,Joseph Terrell-27 - 30.,Sal D'amato-27 - 29.,Guilherme Bravo-28 - 29.,0,0,Decision - Unanimous,100%,0%,"1,1","0,1",2:04,2:39,0,1,33%,28%,"2,6","2,7",1,0,"20,28","65,77",Camila Albuquerque,0,2,3,23%,20%,"8,34","13,65",2,0,5:00,3 Rnd (5-5-5),"2,3","4,8","1,1","3,7","6,32","8,51","1,1","2,7","2,27","7,53","4,4","2,4","55,90","119,188"
63%,25%,"7,11","1,4",7:03,5:54,Judge,"September 24, 2016","Brasilia, Distrito Federal, Brazil",UFC Fight Night: Cyborg vs. Lansberg,W,L,Bantamweight Bout,"W,Rani Yahya,L,Michinori Tanaka",Rani Yahya,Michinori Tanaka,Fabio Alves-28 - 29.,Marco Borges-28 - 29.,Hallison Pontes-28 - 29.,0,0,Decision - Unanimous,100%,---,"1,1","0,0",2:27,1:55,0,0,37%,76%,"3,8","13,17",1,0,"5,11","35,39",Fernando Portella,1,2,3,55%,58%,"10,18","20,34",1,0,5:00,3 Rnd (5-5-5),"2,2","3,3","1,1","0,0","9,17","5,17","0,0","15,17","4,11","10,22","4,5","7,9","19,28","121,144"
25%,71%,"1,4","5,7",0:00,1:09,Judge,"September 24, 2016","Brasilia, Distrito Federal, Brazil",UFC Fight Night: Cyborg vs. Lansberg,L,W,Lightweight Bout,"L,Gilbert Burns,""Durinho"",W,Michel Prazeres,""Tractor""",Gilbert Burns,Michel Prazeres,Guilherme Bravo-27 - 30.,Hallison Pontes-27 - 30.,Joseph Terrell-27 - 30.,0,0,Decision - Unanimous,---,75%,"0,0","3,4",0:00,0:15,0,0,37%,38%,"15,40","20,52",0,0,"15,40","20,52",Osiris Maia,0,0,3,37%,39%,"46,122","67,169",0,0,5:00,3 Rnd (5-5-5),"13,15","15,26","5,9","2,5","40,112","63,156","1,1","2,8","24,94","30,113","9,13","22,30","46,122","70,176"
50%,---,"1,2","0,0",1:34,0:14,Rear Naked Choke,"September 24, 2016","Brasilia, Distrito Federal, Brazil",UFC Fight Night: Cyborg vs. Lansberg,W,L,Featherweight Bout,"W,Godofredo Pepey,L,Mike de la Torre,""El Cucuy""",Godofredo Pepey,Mike de la Torre,,,,0,0,Submission,50%,---,"1,2","0,0",1:34,0:14,0,0,61%,33%,"24,39","6,18",2,0,"27,43","17,30",Mario Yamasaki,0,0,1,61%,33%,"24,39","6,18",2,0,3:03,3 Rnd (5-5-5),"2,3","0,0","10,11","0,0","14,26","6,18","0,2","0,0","22,36","6,18","0,0","0,0","27,43","17,30"
---,50%,"0,0","1,2",1:05,1:22,Rear Naked Choke,"September 24, 2016","Brasilia, Distrito Federal, Brazil",UFC Fight Night: Cyborg vs. Lansberg,L,W,Middleweight Bout,"L,Thiago Santos,""Marreta"",W,Eric Spicely,""Zebrinha""",Thiago Santos,Eric Spicely,,,,0,0,Submission,---,50%,"0,0","1,2",1:05,1:22,0,0,22%,62%,"2,9","5,8",0,1,"4,11","7,10",John McCarthy,0,0,1,22%,62%,"2,9","5,8",0,1,2:58,3 Rnd (5-5-5),"1,1","0,0","0,0","2,3","1,8","1,3","1,1","2,2","1,8","5,8","0,0","0,0","4,11","7,10"
33%,---,"1,3","0,0",4:22,0:27,Facial Cut,"September 24, 2016","Brasilia, Distrito Federal, Brazil",UFC Fight Night: Cyborg vs. Lansberg,W,L,Lightweight Bout,"W,Francisco Trinaldo,""Massaranduba"",L,Paul Felder,""The Irish Dragon""",Francisco Trinaldo,Paul Felder,,,,0,0,TKO - Doctor's Stoppage,0%,---,"0,1","0,0",1:32,0:16,0,0,58%,40%,"18,31","17,42",0,0,"21,36","20,45",Osiris Maia,0,0,3,47%,39%,"32,67","33,84",0,0,2:25,3 Rnd (5-5-5),"13,16","11,19","7,11","4,9","20,51","28,74","5,5","1,1","16,48","10,52","3,3","12,13","42,85","38,90"
0%,0%,"0,1","0,2",1:32,0:19,Punch to Head At Distance,"September 24, 2016","Brasilia, Distrito Federal, Brazil",UFC Fight Night: Cyborg vs. Lansberg,W,L,Heavyweight Bout,"W,Roy Nelson,""Big Country"",L,Antonio Silva,""Bigfoot""",Roy Nelson,Antonio Silva,,,,1,0,KO/TKO,0%,---,"0,1","0,0",1:26,0:00,0,0,54%,50%,"18,33","14,28",0,0,"20,35","33,48",John McCarthy,0,0,2,54%,44%,"36,66","27,61",0,0,4:10,3 Rnd (5-5-5),"4,5","9,15","11,13","3,5","20,48","24,56","5,5","0,0","25,54","7,35","7,7","11,11","38,68","46,81"
100%,---,"3,3","0,0",1:31,0:00,Judge,"September 24, 2016","Brasilia, Distrito Federal, Brazil",UFC Fight Night: Cyborg vs. Lansberg,W,L,Featherweight Bout,"W,Renan Barao,""The Baron"",L,Phillipe Nover,""The Filipino Assassin""",Renan Barao,Phillipe Nover,Sal D'amato-28 - 29.,Guilherme Bravo-28 - 29.,Joseph Terrell-27 - 30.,0,0,Decision - Unanimous,---,---,"0,0","0,0",0:00,0:00,0,0,39%,26%,"23,58","11,41",0,0,"23,58","11,41",John McCarthy,0,0,3,42%,27%,"64,151","39,141",0,0,5:00,3 Rnd (5-5-5),"14,22","10,17","6,9","6,7","58,142","32,133","0,0","1,1","27,98","25,119","23,31","4,5","64,152","54,157"
100%,0%,"2,2","0,1",5:44,0:25,Punches to Head On Ground,"September 24, 2016","Brasilia, Distrito Federal, Brazil",UFC Fight Night: Cyborg vs. Lansberg,W,L,Catch Weight Bout,"W,Cristiane Justino,""Cyborg"",L,Lina Lansberg,""Elbow Queen""",Cristiane Justino,Lina Lansberg,,,,0,0,KO/TKO,100%,0%,"1,1","0,1",4:05,0:03,0,0,67%,68%,"50,74","11,16",0,0,"63,88","18,25",Mario Yamasaki,0,0,2,66%,60%,"84,127","14,23",0,0,2:29,5 Rnd (5-5-5-5-5),"32,39","11,14","31,38","13,16","26,46","1,4","27,43","0,3","49,85","2,8","3,3","1,1","100,144","24,35"
25%,33%,"2,8","1,3",5:14,2:22,Guillotine Choke After Drop to Guard,"September 17, 2016","Hidalgo, Texas, USA",UFC Fight Night: Poirier vs. Johnson,L,W,Welterweight Bout,"L,Erick Montano,""Perry"",W,Randy Brown,""Rudeboy""",Erick Montano,Randy Brown,,,,0,0,Submission,0%,0%,"0,3","0,2",0:57,2:06,0,0,50%,45%,"14,28","9,20",0,0,"26,41","14,25",Jacob Montalvo,0,0,3,51%,40%,"21,41","12,30",0,1,0:18,3 Rnd (5-5-5),"1,5","3,5","8,9","4,6","9,26","7,23","4,6","1,1","11,25","8,24","9,11","1,1","60,87","18,36"
71%,---,"5,7","0,0",4:37,0:16,Judge,"September 17, 2016","Hidalgo, Texas, USA",UFC Fight Night: Poirier vs. Johnson,W,L,Bantamweight Bout,"W,Jose Quinonez,""Teco"",L,Joey Gomez,""KO King""",Jose Quinonez,Joey Gomez,Adriana Beltran-28 - 29.,Guadalupe Chapa-27 - 30.,Hector Maldonado-27 - 30.,2,1,Decision - Unanimous,100%,---,"3,3","0,0",1:19,0:03,0,0,35%,41%,"21,60","21,51",0,0,"26,69","26,57",Kerry Hatley,0,0,3,42%,32%,"56,131","44,136",0,0,5:00,3 Rnd (5-5-5),"15,31","7,17","5,10","6,12","43,105","38,121","8,16","0,3","39,98","26,106","2,2","11,13","76,159","66,159"
50%,---,"7,14","0,0",10:13,0:11,Rear Naked Choke,"September 17, 2016","Hidalgo, Texas, USA",UFC Fight Night: Poirier vs. Johnson,W,L,Middleweight Bout,"W,Antonio Carlos Junior,""Cara de Sapato"",L,Leonardo Guimaraes,""Leleco""",Antonio Carlos Junior,Leonardo Guimaraes,,,,0,0,Submission,40%,---,"2,5","0,0",1:21,0:00,0,0,24%,33%,"8,33","3,9",0,0,"9,34","7,13",Jacob Montalvo,1,0,3,53%,35%,"32,60","6,17",1,2,4:46,3 Rnd (5-5-5),"6,11","5,8","1,2","2,2","13,38","4,15","18,20","0,0","24,47","1,9","2,2","0,0","94,142","15,26"
---,75%,"0,0","3,4",0:00,3:27,Punches to Head From Back Control,"September 17, 2016","Hidalgo, Texas, USA",UFC Fight Night: Poirier vs. Johnson,L,W,Welterweight Bout,"L,Augusto Montano,""Dodger"",W,Belal Muhammad,""Remember the Name""",Augusto Montano,Belal Muhammad,,,,0,0,KO/TKO,---,0%,"0,0","0,1",0:00,0:10,0,0,54%,39%,"30,55","19,48",0,0,"30,55","19,48",Herb Dean,0,0,3,44%,44%,"67,149","66,149",0,0,4:19,3 Rnd (5-5-5),"7,16","4,8","0,0","0,1","67,149","53,134","0,0","13,14","12,77","55,133","48,56","7,8","72,154","118,210"
---,0%,"0,0","0,1",0:17,0:00,Guillotine Choke Standing      Technical Submission,"September 17, 2016","Hidalgo, Texas, USA",UFC Fight Night: Poirier vs. Johnson,W,L,Featherweight Bout,"W,Gabriel Benitez,""Moggly"",L,Sam Sicilia",Gabriel Benitez,Sam Sicilia,,,,1,0,Submission,---,---,"0,0","0,0",0:00,0:00,0,0,36%,28%,"28,76","17,60",0,0,"28,76","17,60",Dan Miragliotta,0,0,2,38%,27%,"39,101","19,70",1,0,1:20,3 Rnd (5-5-5),"4,9","4,6","2,3","1,5","31,91","18,65","6,7","0,0","21,75","12,61","14,17","3,3","39,101","19,70"
---,---,"0,0","0,0",0:11,0:00,D'Arce Choke On Ground      Technical Submission,"September 17, 2016","Hidalgo, Texas, USA",UFC Fight Night: Poirier vs. Johnson,W,L,Featherweight Bout,"W,Chas Skelly,""The Scrapper"",L,Maximo Blanco,""Maxi""",Chas Skelly,Maximo Blanco,,,,0,0,Submission,---,---,"0,0","0,0",0:11,0:00,0,0,100%,0%,"1,1","0,1",1,0,"1,1","0,1",Herb Dean,0,0,1,100%,0%,"1,1","0,1",1,0,0:19,3 Rnd (5-5-5),"1,1","0,1","0,0","0,0","1,1","0,1","0,0","0,0","0,0","0,0","0,0","0,0","1,1","0,1"
---,100%,"0,0","4,4",4:04,8:56,Judge,"September 17, 2016","Hidalgo, Texas, USA",UFC Fight Night: Poirier vs. Johnson,L,W,Lightweight Bout,"L,Chris Wade,W,Islam Makhachev",Chris Wade,Islam Makhachev,Hector Maldonado-28 - 29.,Guadalupe Chapa-28 - 29.,Adriana Beltran-28 - 29.,0,0,Decision - Unanimous,---,100%,"0,0","1,1",3:14,1:03,1,0,57%,40%,"4,7","2,5",0,2,"30,38","2,5",Dan Miragliotta,4,2,3,29%,63%,"5,17","12,19",2,2,5:00,3 Rnd (5-5-5),"0,5","7,7","0,0","0,0","3,13","7,14","2,4","5,5","2,9","5,12","3,3","0,0","42,61","51,83"
33%,---,"2,6","0,0",2:37,3:12,Judge,"September 17, 2016","Hidalgo, Texas, USA",UFC Fight Night: Poirier vs. Johnson,W,L,Welterweight Bout,"W,Roan Carneiro,""Jucao"",L,Kenny Robertson",Roan Carneiro,Kenny Robertson,Marcos Rosales-28 - 29.,Hector Maldonado-27 - 30.,Guadalupe Chapa-29 - 28.,0,0,Decision - Split,50%,---,"1,2","0,0",0:51,0:22,0,1,58%,25%,"14,24","15,59",0,0,"14,24","16,60",Kerry Hatley,1,2,3,47%,20%,"33,70","28,134",0,0,5:00,3 Rnd (5-5-5),"7,9","6,9","5,5","4,4","28,65","21,125","0,0","3,5","24,59","11,110","2,2","11,15","43,80","45,153"
33%,0%,"3,9","0,3",7:03,0:00,Judge,"September 17, 2016","Hidalgo, Texas, USA",UFC Fight Night: Poirier vs. Johnson,W,L,Lightweight Bout,"W,Evan Dunham,L,Rick Glenn,""The Gladiator""",Evan Dunham,Rick Glenn,Hector Maldonado-27 - 30.,Guadalupe Chapa-27 - 30.,Adriana Beltran-27 - 30.,0,0,Decision - Unanimous,100%,---,"1,1","0,0",4:11,0:00,0,0,55%,40%,"16,29","6,15",2,0,"36,56","8,17",Jacob Montalvo,0,0,3,51%,37%,"144,279","58,156",2,0,5:00,3 Rnd (5-5-5),"12,17","10,21","14,16","6,9","116,242","48,140","14,21","4,7","132,262","43,130","0,0","5,5","185,330","63,161"
---,0%,"0,0","0,3",0:00,1:02,Punches to Head At Distance,"September 17, 2016","Hidalgo, Texas, USA",UFC Fight Night: Poirier vs. Johnson,L,W,Middleweight Bout,"L,Uriah Hall,""Prime Time"",W,Derek Brunson",Uriah Hall,Derek Brunson,,,,0,1,KO/TKO,---,0%,"0,0","0,3",0:00,1:02,0,0,33%,57%,"1,3","4,7",0,0,"4,6","15,18",Herb Dean,0,0,1,33%,57%,"1,3","4,7",0,0,1:41,3 Rnd (5-5-5),"1,1","1,1","0,0","3,3","1,3","1,1","0,0","0,3","0,2","3,6","0,0","0,0","4,6","15,18"
---,---,"0,0","0,0",0:00,0:03,Punches to Head At Distance,"September 17, 2016","Hidalgo, Texas, USA",UFC Fight Night: Poirier vs. Johnson,L,W,Lightweight Bout,"L,Dustin Poirier,""The Diamond"",W,Michael Johnson,""The Menace""",Dustin Poirier,Michael Johnson,,,,0,1,KO/TKO,---,---,"0,0","0,0",0:00,0:03,0,0,50%,37%,"6,12","14,37",0,0,"6,12","14,37",Dan Miragliotta,0,0,1,50%,37%,"6,12","14,37",0,0,1:35,5 Rnd (5-5-5-5-5),"0,0","1,6","0,0","0,0","6,12","10,32","0,0","4,5","4,9","10,26","2,3","3,5","6,12","14,37"
0%,---,"0,1","0,0",0:11,0:00,Punch to Head In Clinch,"September 10, 2016","Cleveland, Ohio, USA",UFC 203: Miocic vs. Overeem,W,L,Lightweight Bout,"W,Drew Dober,L,Jason Gonzalez,""Nicoya""",Drew Dober,Jason Gonzalez,,,,1,0,KO/TKO,0%,---,"0,1","0,0",0:11,0:00,0,0,48%,33%,"20,41","10,30",0,0,"23,45","10,30",Jerry Poe,0,0,1,48%,33%,"20,41","10,30",0,0,1:45,3 Rnd (5-5-5),"2,3","1,1","4,10","1,1","15,29","9,29","1,2","0,0","14,34","6,25","4,4","3,4","23,45","10,30"
83%,0%,"5,6","0,1",7:18,0:32,Punches to Head From Back Control,"September 10, 2016","Cleveland, Ohio, USA",UFC 203: Miocic vs. Overeem,W,L,Lightweight Bout,"W,Nik Lentz,""The Carny"",L,Michael McBride",Nik Lentz,Michael McBride,,,,0,0,KO/TKO,80%,---,"4,5","0,0",4:19,0:00,0,0,88%,55%,"16,18","5,9",0,0,"41,45","21,31",Gary Copeland,0,0,2,76%,51%,"38,50","16,31",1,0,4:17,3 Rnd (5-5-5),"5,5","1,3","2,2","0,1","10,19","14,27","26,29","2,3","32,43","10,22","1,2","5,6","80,97","42,65"
---,14%,"0,0","1,7",1:59,2:47,Judge,"September 10, 2016","Cleveland, Ohio, USA",UFC 203: Miocic vs. Overeem,W,L,Middleweight Bout,"W,Brad Tavares,L,Caio Magalhaes,""Hellboy""",Brad Tavares,Caio Magalhaes,Richard Winter-29 - 28.,Derek Cleary-27 - 30.,Eric Colon-28 - 29.,0,0,Decision - Split,---,0%,"0,0","0,2",0:10,2:04,0,0,34%,50%,"8,23","9,18",0,0,"16,31","13,23",Keith Peterson,0,0,3,46%,32%,"46,100","26,81",0,1,5:00,3 Rnd (5-5-5),"9,16","10,20","15,20","6,9","30,79","20,72","1,1","0,0","21,65","12,52","16,19","4,9","58,112","39,95"
---,0%,"0,0","0,3",0:03,1:00,Judge,"September 10, 2016","Cleveland, Ohio, USA",UFC 203: Miocic vs. Overeem,L,W,Women's Bantamweight Bout,"L,Jessica Eye,""Evil"",W,Bethe Correia,""Pitbull""",Jessica Eye,Bethe Correia,Eric Colon-28 - 29.,Sal D'amato-29 - 28.,Derek Cleary-28 - 29.,0,0,Decision - Split,---,---,"0,0","0,0",0:03,0:31,0,0,20%,33%,"14,68","15,45",0,0,"17,71","17,47",Marc Goddard,0,0,3,26%,32%,"52,199","49,150",0,0,5:00,3 Rnd (5-5-5),"8,16","4,9","5,8","5,6","47,191","44,144","0,0","0,0","29,164","32,119","15,19","13,22","63,210","69,170"
66%,---,"2,3","0,0",3:29,0:12,Guillotine Choke After Drop to Guard,"September 10, 2016","Cleveland, Ohio, USA",UFC 203: Miocic vs. Overeem,W,L,Women's Strawweight Bout,"W,Jessica Andrade,""Bate Estaca"",L,Joanne Calderwood,""JoJo""",Jessica Andrade,Joanne Calderwood,,,,0,0,Submission,66%,---,"2,3","0,0",3:29,0:12,0,0,71%,50%,"20,28","13,26",1,0,"44,58","23,36",Jerry Poe,0,0,1,71%,50%,"20,28","13,26",1,0,4:38,3 Rnd (5-5-5),"10,10","4,4","6,6","4,5","2,3","8,19","12,19","1,2","10,18","3,16","0,0","6,6","44,58","23,36"
0%,---,"0,4","0,0",0:00,0:00,Judge,"September 10, 2016","Cleveland, Ohio, USA",UFC 203: Miocic vs. Overeem,L,W,Bantamweight Bout,"L,Urijah Faber,""The California Kid"",W,Jimmie Rivera,""El Terror""",Urijah Faber,Jimmie Rivera,Derek Cleary-27 - 30.,Sal D'amato-27 - 30.,Richard Winter-27 - 30.,0,0,Decision - Unanimous,0%,---,"0,2","0,0",0:00,0:00,0,0,22%,26%,"9,40","12,46",0,0,"10,41","12,47",Gary Copeland,0,0,3,19%,33%,"22,112","54,160",0,0,5:00,3 Rnd (5-5-5),"5,9","9,20","3,3","4,6","19,109","50,154","0,0","0,0","11,94","21,113","6,9","24,27","23,113","55,162"
---,100%,"0,0","1,1",0:00,2:11,Rear Naked Choke,"September 10, 2016","Cleveland, Ohio, USA",UFC 203: Miocic vs. Overeem,L,W,Welterweight Bout,"L,CM Punk,W,Mickey Gall",CM Punk,Mickey Gall,,,,0,0,Submission,---,100%,"0,0","1,1",0:00,2:11,0,0,0%,62%,"0,1","20,32",0,2,"6,8","26,39",Keith Peterson,0,0,1,0%,62%,"0,1","20,32",0,2,2:14,3 Rnd (5-5-5),"0,0","0,0","0,0","0,0","0,1","0,0","0,0","20,32","0,1","20,32","0,0","0,0","6,8","26,39"
0%,---,"0,3","0,0",1:30,0:13,Judge,"September 10, 2016","Cleveland, Ohio, USA",UFC 203: Miocic vs. Overeem,W,L,Heavyweight Bout,"W,Fabricio Werdum,""Vai Cavalo"",L,Travis Browne,""Hapa""",Fabricio Werdum,Travis Browne,Mike Barry-28 - 29.,Sal D'amato-27 - 29.,Richard Winter-27 - 30.,1,0,Decision - Unanimous,0%,---,"0,1","0,0",1:30,0:02,0,0,62%,40%,"37,59","12,30",1,0,"60,83","12,30",Gary Copeland,0,0,3,59%,25%,"84,142","37,143",1,0,5:00,3 Rnd (5-5-5),"24,32","4,11","10,10","2,2","66,123","35,140","8,9","0,1","41,91","27,123","19,19","6,9","107,166","38,144"
100%,---,"1,1","0,0",0:21,0:06,Punch to Head From Guard,"September 10, 2016","Cleveland, Ohio, USA",UFC 203: Miocic vs. Overeem,W,L,UFC Heavyweight Title Bout,"W,Stipe Miocic,L,Alistair Overeem,""The Demolition Man""",Stipe Miocic,Alistair Overeem,,,,0,1,KO/TKO,100%,---,"1,1","0,0",0:21,0:06,0,0,56%,52%,"34,60","9,17",0,1,"34,60","9,17",Marc Goddard,0,0,1,56%,52%,"34,60","9,17",0,1,4:27,5 Rnd (5-5-5-5-5),"3,5","3,6","6,9","2,3","16,36","7,14","12,15","0,0","31,55","5,10","0,0","1,1","34,60","9,17"
0%,16%,"0,3","1,6",1:45,3:16,Judge,"September 03, 2016","Hamburg, Hamburg, Germany",UFC Fight Night: Arlovski vs. Barnett,L,W,Middleweight Bout,"L,Scott Askham,W,Jack Hermansson,""The Joker""",Scott Askham,Jack Hermansson,Ben Cartlidge-27 - 30.,Paul Sutherland-27 - 30.,Howard Hughes-28 - 29.,0,0,Decision - Unanimous,0%,0%,"0,1","0,1",0:32,0:29,0,0,26%,37%,"11,42","16,43",0,0,"13,44","20,47",Leon Roberts,0,0,3,34%,56%,"37,106","88,156",2,0,5:00,3 Rnd (5-5-5),"21,33","21,22","13,22","30,40","23,83","57,114","1,1","1,2","8,62","39,98","8,11","28,36","49,120","121,190"
20%,0%,"1,5","0,1",3:38,1:54,Judge,"September 03, 2016","Hamburg, Hamburg, Germany",UFC Fight Night: Arlovski vs. Barnett,D,D,Heavyweight Bout,"D,Jarjis Danho,""Man Mountain"",D,Christian Colombo",Jarjis Danho,Christian Colombo,Andy Roberts-27 - 29.,Takeo Kobayashi-28 - 28.,Clemens Werner-28 - 28.,0,0,Decision - Majority,0%,---,"0,2","0,0",1:25,0:08,0,0,32%,48%,"9,28","24,49",0,0,"12,36","31,56",Marc Goddard,0,0,3,53%,47%,"52,98","76,159",0,0,5:00,3 Rnd (5-5-5),"9,14","18,24","13,21","36,55","33,71","38,101","6,6","2,3","43,84","49,126","0,0","9,9","72,126","116,202"
---,21%,"0,0","3,14",0:58,6:31,Judge,"September 03, 2016","Hamburg, Hamburg, Germany",UFC Fight Night: Arlovski vs. Barnett,W,L,Bantamweight Bout,"W,Taylor Lapilus,""Double Impact"",L,Leandro Issa,""Brodinho""",Taylor Lapilus,Leandro Issa,Mark Collett-27 - 30.,Paul Sutherland-27 - 30.,Howard Hughes-28 - 29.,0,0,Decision - Unanimous,---,28%,"0,0","2,7",0:01,2:56,0,0,36%,31%,"17,47","7,22",0,0,"26,57","8,25",Lukasz Bosacki,0,0,3,43%,31%,"63,146","19,61",0,0,5:00,3 Rnd (5-5-5),"12,14","6,13","21,26","3,3","38,115","16,58","4,5","0,0","49,130","6,38","2,2","7,10","84,168","23,68"
40%,---,"2,5","0,0",6:01,1:49,Elbows to Head On Ground,"September 03, 2016","Hamburg, Hamburg, Germany",UFC Fight Night: Arlovski vs. Barnett,W,L,Women's Bantamweight Bout,"W,Ashlee Evans-Smith,""Rebel Girl"",L,Veronica Macedo",Ashlee Evans-Smith,Veronica Macedo,,,,0,0,KO/TKO,33%,---,"1,3","0,0",1:52,0:33,0,0,59%,68%,"16,27","11,16",0,0,"22,37","19,25",Neil Hall,0,0,3,63%,56%,"73,115","23,41",0,0,2:46,3 Rnd (5-5-5),"27,31","7,9","29,35","11,13","11,38","12,28","33,42","0,0","41,78","13,27","5,6","3,5","114,162","34,54"
